1.000000000000000000e+00 2.623319829765118905e-01 6.449162587523460388e-01
2.000000000000000000e+00 2.853442088357712181e-01 3.154207070668538226e-01
3.000000000000000000e+00 7.190885788172875215e-02 6.354707448432843353e-02
4.000000000000000000e+00 5.151523419312740298e-02 7.779735852576170896e-02
5.000000000000000000e+00 3.490859748011356650e-02 6.137115360858539509e-02
6.000000000000000000e+00 4.528582115706644706e-02 5.605289999706049991e-02
7.000000000000000000e+00 4.899688914271169843e-02 6.222250075855603052e-02
8.000000000000000000e+00 8.031760452707346898e-02 6.665863618642713095e-02
9.000000000000000000e+00 3.349777563524089508e-02 4.481710716693972779e-02
1.000000000000000000e+01 3.553598087379022941e-02 5.364856900026401115e-02
1.100000000000000000e+01 2.777434275240490275e-02 5.071330074376115965e-02
1.200000000000000000e+01 4.987318406959897338e-02 5.587970100653668476e-02
1.300000000000000000e+01 3.150470902849184657e-02 4.054917719137544202e-02
1.400000000000000000e+01 2.266668241569086070e-02 4.750284641825904680e-02
1.500000000000000000e+01 2.659542201773116427e-02 4.083159705623984337e-02
1.600000000000000000e+01 2.915918474134646110e-02 4.409683006815612316e-02
1.700000000000000000e+01 3.223677557942114524e-02 5.485117497543493675e-02
1.800000000000000000e+01 3.092523095639128361e-02 5.439938181856026483e-02
1.900000000000000000e+01 2.988437185750195818e-02 5.843059020116925240e-02
