5.000000000000000000e+00 2.341738601068132919e-01 3.447991718227664815e-01
1.000000000000000000e+01 4.009042323419922393e-01 6.452131668726602820e-01
1.500000000000000000e+01 2.563443566231350945e-01 3.891800567507743835e-01
2.000000000000000000e+01 6.228135134044446852e-01 6.663699646790822717e-01
2.500000000000000000e+01 3.676112294197082520e-01 5.009002685546875000e-01
3.000000000000000000e+01 7.507428495507491029e-01 6.577298641204833984e-01
3.500000000000000000e+01 1.008376545027682702e+00 9.680245518684387207e-01
4.000000000000000000e+01 6.536614173337033096e-01 7.609497904777526855e-01
4.500000000000000000e+01 4.463036036805102524e-01 3.806544244289398193e-01
5.000000000000000000e+01 4.251556145517449425e-01 5.872957706451416016e-01
